id,text,pred,pred_prob,true_label,leisure_prob,politics_prob,science_prob,formatted_politics_rationales,formatted_science_rationales,formatted_leisure_rationales,prompt,prompt_no_rationale,pred_rationales_words
0,"This is the price hockey fans have to pay for the mistake of leaving
ESPN 5 or 6 years ago...it will take time to correct for that mistake.

But returning to ESPN was the correct decision last year...by next
time, we may have the potential for Sportschannel and ESPN to really
compete to offer better coverage and be forced to deliver on it.",leisure,0.985,leisure,0.984913076499128,0.0069563198771862,0.0081306036236856,"'ESPN': -0.029, 'hockey': -0.025, 'correct': 0.017, 'fans': -0.017, 'years': -0.011, 'next': -0.010","'ESPN': -0.061, 'hockey': -0.051, 'fans': -0.036, 'last': -0.027, 'mistake': 0.021, 'coverage': -0.019","'ESPN': 0.089, 'hockey': 0.076, 'fans': 0.052, 'last': 0.033, 'correct': -0.029, 'years': 0.029","Input: This is the price hockey fans have to pay for the mistake of leaving
ESPN 5 or 6 years ago...it will take time to correct for that mistake.

But returning to ESPN was the correct decision last year...by next
time, we may have the potential for Sportschannel and ESPN to really
compete to offer better coverage and be forced to deliver on it.

Output: leisure
Confidence: 0.985
Output rationale: 'ESPN': 0.089, 'hockey': 0.076, 'fans': 0.052, 'last': 0.033, 'correct': -0.029, 'years': 0.029.","Input: This is the price hockey fans have to pay for the mistake of leaving
ESPN 5 or 6 years ago...it will take time to correct for that mistake.

But returning to ESPN was the correct decision last year...by next
time, we may have the potential for Sportschannel and ESPN to really
compete to offer better coverage and be forced to deliver on it.

Output: leisure
Confidence: 0.985","['ESPN', 'hockey', 'fans', 'last', 'correct', 'years']"
1,"It isn't that bad.  At least the Bugatti EB110 has compound curves compared
to the slab sides on the Consulier.  And the Bugatti has a quad turbo V-12
(thing of it as 4 three cylinder turbo engines tied together).  Also Ettore
Bugatti's nephew is on the board of directors and had a hand in the
development.  So that's about as much Bugatti as you are likely to get in
today's world.  Much like Enzo Ferrari's illegitamate son being allowed to
take over part of Ferrari as well... 


That's funny.  I have motorcylclist friends who say the same about `cages'. 
:-)

Most GP 500cc motorcycles are V-4s, and the VF line of Hondas were all V-4s
(from the VF-400F through the VF-1000F, including the RC30 race bike and
the present VFR-750F).  It should be noted that Lancia built a V-4 in
recent history in the Fulvia HF, a very pretty Italian coupe.",leisure,0.909,leisure,0.909369876284714,0.0481331793535525,0.0424969443617335,"'bike': -0.056, 'motorcycles': -0.038, 'turbo': -0.033, 'engines': -0.032, 'likely': 0.029, 'compound': 0.026","'bike': -0.097, 'motorcycles': -0.063, 'turbo': -0.057, 'engines': -0.044, 'board': 0.027, 'development': 0.026","'bike': 0.150, 'motorcycles': 0.098, 'turbo': 0.086, 'engines': 0.072, 'likely': -0.046, 'son': -0.034","Input: It isn't that bad.  At least the Bugatti EB110 has compound curves compared
to the slab sides on the Consulier.  And the Bugatti has a quad turbo V-12
(thing of it as 4 three cylinder turbo engines tied together).  Also Ettore
Bugatti's nephew is on the board of directors and had a hand in the
development.  So that's about as much Bugatti as you are likely to get in
today's world.  Much like Enzo Ferrari's illegitamate son being allowed to
take over part of Ferrari as well... 


That's funny.  I have motorcylclist friends who say the same about `cages'. 
:-)

Most GP 500cc motorcycles are V-4s, and the VF line of Hondas were all V-4s
(from the VF-400F through the VF-1000F, including the RC30 race bike and
the present VFR-750F).  It should be noted that Lancia built a V-4 in
recent history in the Fulvia HF, a very pretty Italian coupe.

Output: leisure
Confidence: 0.909
Output rationale: 'bike': 0.150, 'motorcycles': 0.098, 'turbo': 0.086, 'engines': 0.072, 'likely': -0.046, 'son': -0.034.","Input: It isn't that bad.  At least the Bugatti EB110 has compound curves compared
to the slab sides on the Consulier.  And the Bugatti has a quad turbo V-12
(thing of it as 4 three cylinder turbo engines tied together).  Also Ettore
Bugatti's nephew is on the board of directors and had a hand in the
development.  So that's about as much Bugatti as you are likely to get in
today's world.  Much like Enzo Ferrari's illegitamate son being allowed to
take over part of Ferrari as well... 


That's funny.  I have motorcylclist friends who say the same about `cages'. 
:-)

Most GP 500cc motorcycles are V-4s, and the VF line of Hondas were all V-4s
(from the VF-400F through the VF-1000F, including the RC30 race bike and
the present VFR-750F).  It should be noted that Lancia built a V-4 in
recent history in the Fulvia HF, a very pretty Italian coupe.

Output: leisure
Confidence: 0.909","['bike', 'motorcycles', 'turbo', 'engines', 'likely', 'son']"
2,": That more or less says it.  I flicked the Penguins game on briefly and saw
: Ulf cross-check Valeri in the face.  I am wondering if Don Cherry is going to
: go off on this at all in coach's corner.

And that was the ONLY infraction of this type in the game. 
Come on! Wake up! Geez He's not the only player who does this
sort of thing. I think we were kind of lucky. The game was not
really all that ""chippy"" considering the state NJ is in about
now.",leisure,0.997,leisure,0.9966983062398768,0.002425670425674,0.0008760233344493,"'game': -0.058, 'player': -0.025, 'state': 0.025, 'Cherry': -0.011, 'go': -0.011, 'wondering': -0.008","'game': -0.039, 'player': -0.016, 'wondering': -0.009, 'Cherry': -0.008, 'go': -0.007, 'saw': -0.006","'game': 0.097, 'player': 0.042, 'state': -0.025, 'Cherry': 0.020, 'go': 0.018, 'wondering': 0.018","Input: : That more or less says it.  I flicked the Penguins game on briefly and saw
: Ulf cross-check Valeri in the face.  I am wondering if Don Cherry is going to
: go off on this at all in coach's corner.

And that was the ONLY infraction of this type in the game. 
Come on! Wake up! Geez He's not the only player who does this
sort of thing. I think we were kind of lucky. The game was not
really all that ""chippy"" considering the state NJ is in about
now.

Output: leisure
Confidence: 0.997
Output rationale: 'game': 0.097, 'player': 0.042, 'state': -0.025, 'Cherry': 0.020, 'go': 0.018, 'wondering': 0.018.","Input: : That more or less says it.  I flicked the Penguins game on briefly and saw
: Ulf cross-check Valeri in the face.  I am wondering if Don Cherry is going to
: go off on this at all in coach's corner.

And that was the ONLY infraction of this type in the game. 
Come on! Wake up! Geez He's not the only player who does this
sort of thing. I think we were kind of lucky. The game was not
really all that ""chippy"" considering the state NJ is in about
now.

Output: leisure
Confidence: 0.997","['game', 'player', 'state', 'Cherry', 'go', 'wondering']"
3,"First off, use some decent terms if ya don't mind.  This is sci.med, not
alt.sex.

Secondly, how absolutely bogus to assume that ""American's are just too hung
up on the penis....blah,blah"".  I think most American's don't care about
anything so comlicated as that.  They just think it ""looks nicer"".  Ask 
a few of them and see what response you get.  Others still opt for
circumcision due to religious traditions and beliefs.  Some think it is
easier to clean.  Still others do it because ""Daddy was"".

Dont' be so naive as to think American's are afraid of sexuality.",science,0.419,science,0.2582271249371667,0.4187526340725554,0.3230202409902777,"'s': -0.228, 'American': 0.161, 'sexuality': 0.053, 'care': 0.051, 'circumcision': -0.049, 'religious': 0.047","'s': 0.122, 'American': -0.105, 'use': 0.068, 'circumcision': 0.067, 'think': -0.053, 'absolutely': -0.048","'s': 0.090, 'American': -0.073, 'think': 0.071, 'use': -0.069, 'care': -0.067, 'decent': 0.044","Input: First off, use some decent terms if ya don't mind.  This is sci.med, not
alt.sex.

Secondly, how absolutely bogus to assume that ""American's are just too hung
up on the penis....blah,blah"".  I think most American's don't care about
anything so comlicated as that.  They just think it ""looks nicer"".  Ask 
a few of them and see what response you get.  Others still opt for
circumcision due to religious traditions and beliefs.  Some think it is
easier to clean.  Still others do it because ""Daddy was"".

Dont' be so naive as to think American's are afraid of sexuality.

Output: science
Confidence: 0.419
Output rationale: 's': 0.122, 'American': -0.105, 'use': 0.068, 'circumcision': 0.067, 'think': -0.053, 'absolutely': -0.048.","Input: First off, use some decent terms if ya don't mind.  This is sci.med, not
alt.sex.

Secondly, how absolutely bogus to assume that ""American's are just too hung
up on the penis....blah,blah"".  I think most American's don't care about
anything so comlicated as that.  They just think it ""looks nicer"".  Ask 
a few of them and see what response you get.  Others still opt for
circumcision due to religious traditions and beliefs.  Some think it is
easier to clean.  Still others do it because ""Daddy was"".

Dont' be so naive as to think American's are afraid of sexuality.

Output: science
Confidence: 0.419","['s', 'American', 'use', 'circumcision', 'think', 'absolutely']"
4,"BMWs boxer twin! (no two wheelers here?) Been around since 1923. I think the
other examples are Johnny come latelies... I may be wrong so no flames please..",leisure,0.768,leisure,0.7683676450506186,0.0404069287232199,0.1912254262261616,"'please': -0.032, 'may': -0.026, 'twin': -0.021, 'come': 0.018, 'wrong': 0.015, 'Johnny': -0.012","'twin': -0.185, 'boxer': 0.096, 'please': -0.067, 'Johnny': -0.064, 'may': 0.058, 'examples': 0.041","'twin': 0.198, 'boxer': -0.108, 'please': 0.091, 'Johnny': 0.069, 'examples': -0.062, 'think': 0.039","Input: BMWs boxer twin! (no two wheelers here?) Been around since 1923. I think the
other examples are Johnny come latelies... I may be wrong so no flames please..

Output: leisure
Confidence: 0.768
Output rationale: 'twin': 0.198, 'boxer': -0.108, 'please': 0.091, 'Johnny': 0.069, 'examples': -0.062, 'think': 0.039.","Input: BMWs boxer twin! (no two wheelers here?) Been around since 1923. I think the
other examples are Johnny come latelies... I may be wrong so no flames please..

Output: leisure
Confidence: 0.768","['twin', 'boxer', 'please', 'Johnny', 'examples', 'think']"
5,"The new Cruisers DO NOT have independent suspension in the front.  They
still
run a straight axle, but with coils.  The 4Runner is the one with
independent
front.  The Cruisers have incredible wheel travel with this system. 

The 91-up Cruiser does have full time 4WD, but the center diff locks in
low range.  My brother has a 91 and is an incredibly sturdy vehicle which
has done all the 4+ trails in Moab without a tow.  The 93 and later is even
better with the bigger engine and locking diffs.",leisure,0.979,leisure,0.9789886670786788,0.0101655603863703,0.0108457725349508,"'front': -0.020, 'engine': -0.017, 'wheel': -0.017, 'Cruisers': -0.014, 'vehicle': -0.013, 'incredible': 0.013","'front': -0.047, 'wheel': -0.032, 'engine': -0.030, 'suspension': -0.021, 'Cruisers': -0.020, 'system': 0.018","'front': 0.066, 'wheel': 0.049, 'engine': 0.046, 'Cruisers': 0.033, 'suspension': 0.029, 'system': -0.020","Input: The new Cruisers DO NOT have independent suspension in the front.  They
still
run a straight axle, but with coils.  The 4Runner is the one with
independent
front.  The Cruisers have incredible wheel travel with this system. 

The 91-up Cruiser does have full time 4WD, but the center diff locks in
low range.  My brother has a 91 and is an incredibly sturdy vehicle which
has done all the 4+ trails in Moab without a tow.  The 93 and later is even
better with the bigger engine and locking diffs.

Output: leisure
Confidence: 0.979
Output rationale: 'front': 0.066, 'wheel': 0.049, 'engine': 0.046, 'Cruisers': 0.033, 'suspension': 0.029, 'system': -0.020.","Input: The new Cruisers DO NOT have independent suspension in the front.  They
still
run a straight axle, but with coils.  The 4Runner is the one with
independent
front.  The Cruisers have incredible wheel travel with this system. 

The 91-up Cruiser does have full time 4WD, but the center diff locks in
low range.  My brother has a 91 and is an incredibly sturdy vehicle which
has done all the 4+ trails in Moab without a tow.  The 93 and later is even
better with the bigger engine and locking diffs.

Output: leisure
Confidence: 0.979","['front', 'wheel', 'engine', 'Cruisers', 'suspension', 'system']"
6,"I would appreciate any thoughts on what makes a planet habitable for Humans.
I am making asumptions that life and a similar atmosphere evolve given a range
of physical aspects of the planet.  The question is what physical aspects
simply disallow earth like conditions.

eg Temperature range of 280K to 315K (where temp is purely dependant on dist
     from the sun and the suns temperature..)
   Atmospheric presure ? - I know nothing of human tolerance
   Planetary Mass ? - again gravity at surface is important, how much
     can human bodies take day after day.  Also how does the mass effect
     atmosphere.  I thinking of planets between .3 and 3 times mass of the
     earth.  I suppose density should be important as well.

Climate etc does not concern me, nor does axial tilt etc etc.  Just the above
three factors and how they relate to one another.

Jonathan
--",science,0.942,science,0.014968641773956,0.0428493450080682,0.9421820132179758,"'etc': -0.061, 'earth': -0.041, 'mass': 0.026, 'sun': -0.024, 'important': 0.024, 'appreciate': -0.022","'etc': 0.073, 'earth': 0.069, 'eg': 0.032, 'sun': 0.031, 'effect': 0.029, 'important': -0.024","'earth': -0.030, 'planet': -0.017, 'eg': -0.016, 'etc': -0.014, 'nothing': -0.012, 'mass': -0.012","Input: I would appreciate any thoughts on what makes a planet habitable for Humans.
I am making asumptions that life and a similar atmosphere evolve given a range
of physical aspects of the planet.  The question is what physical aspects
simply disallow earth like conditions.

eg Temperature range of 280K to 315K (where temp is purely dependant on dist
     from the sun and the suns temperature..)
   Atmospheric presure ? - I know nothing of human tolerance
   Planetary Mass ? - again gravity at surface is important, how much
     can human bodies take day after day.  Also how does the mass effect
     atmosphere.  I thinking of planets between .3 and 3 times mass of the
     earth.  I suppose density should be important as well.

Climate etc does not concern me, nor does axial tilt etc etc.  Just the above
three factors and how they relate to one another.

Jonathan
--

Output: science
Confidence: 0.942
Output rationale: 'etc': 0.073, 'earth': 0.069, 'eg': 0.032, 'sun': 0.031, 'effect': 0.029, 'important': -0.024.","Input: I would appreciate any thoughts on what makes a planet habitable for Humans.
I am making asumptions that life and a similar atmosphere evolve given a range
of physical aspects of the planet.  The question is what physical aspects
simply disallow earth like conditions.

eg Temperature range of 280K to 315K (where temp is purely dependant on dist
     from the sun and the suns temperature..)
   Atmospheric presure ? - I know nothing of human tolerance
   Planetary Mass ? - again gravity at surface is important, how much
     can human bodies take day after day.  Also how does the mass effect
     atmosphere.  I thinking of planets between .3 and 3 times mass of the
     earth.  I suppose density should be important as well.

Climate etc does not concern me, nor does axial tilt etc etc.  Just the above
three factors and how they relate to one another.

Jonathan
--

Output: science
Confidence: 0.942","['etc', 'earth', 'eg', 'sun', 'effect', 'important']"
7,"I think one only needs to scan Mr. Davidsson's bibliography to see what kind
of objective sources he uses.",politics,0.641,politics,0.1852090305150541,0.6411494046196765,0.1736415648652695,"'Mr': 0.423, 'sources': 0.093, 'bibliography': -0.082, 's': -0.082, 'needs': -0.057, 'scan': -0.052","'Mr': -0.213, 'uses': 0.041, 'bibliography': 0.039, 's': 0.038, 'see': -0.036, 'sources': 0.032","'Mr': -0.211, 'sources': -0.124, 'objective': 0.060, 's': 0.046, 'bibliography': 0.044, 'think': 0.035","Input: I think one only needs to scan Mr. Davidsson's bibliography to see what kind
of objective sources he uses.

Output: politics
Confidence: 0.641
Output rationale: 'Mr': 0.423, 'sources': 0.093, 'bibliography': -0.082, 's': -0.082, 'needs': -0.057, 'scan': -0.052.","Input: I think one only needs to scan Mr. Davidsson's bibliography to see what kind
of objective sources he uses.

Output: politics
Confidence: 0.641","['Mr', 'sources', 'bibliography', 's', 'needs', 'scan']"
8,"Well, they can't listen in on much of mine, since I already use
cryptography for much of my electronic mail, and will start using it
for my telephony as soon as practical.

However, allow me to tell a parable.

There was once a far away land called Ruritania, and in Ruritania
there was a strange phenonmenon -- all the trees that grew in
Ruritainia were transparent. Now, in the days when people had lived in
mud huts, this had not been a problem, but now high-tech wood
technology had been developed, and in the new age of wood, everyone in
Ruritania found that their homes were all 100% see through. Now, until
this point, no one ever thought of allowing the police to spy on
someone's home, but the new technology made this tempting. This being
a civilized country, however, warrants were required to use binoculars
and watch someone in their home. The police, taking advantage of this,
would get warrants to use binoculars and peer in to see what was going
on. Occassionally, they would use binoculars without a warrant, but
everyone pretended that this didn't happen.

One day, a smart man invented paint -- and if you painted your house,
suddenly the police couldn't watch all your actions at will. Things
would go back to the way they were in the old age -- completely
private.

Indignant, the state decided to try to require that all homes have
video cameras installed in every nook and cranny. ""After all"", they
said, ""with this new development crime could run rampant. Installing
video cameras doesn't mean that the police get any new capability --
they are just keeping the old one.""

A wise man pointed out that citizens were not obligated to make the
lives of the police easy, that the police had survived all through the
mud hut age without being able to watch the citizens at will, and that
Ruritania was a civilized country where not everything that was
expedient was permitted. For instance, in a neighboring country, it
had been discovered that torture was an extremely effective way to
solve crimes. Ruritania had banned this practice in spite of its
expedience. Indeed, ""why have warrants at all"", he asked, ""if we are
interested only in expedience?""

A famous paint technologist, Dorothy Quisling, intervened however. She
noted that people might take photographs of children masturbating
should the new paint technology be widely deployed without safeguards,
and the law was passed.

Soon it was discovered that some citizens would cover their mouths
while speaking to each other, thus preventing the police from reading
their lips through the video cameras. This had to be prevented, the
police said. After all, it was preventing them from conducting their
lawful surveilance. The wise man pointed out that the police had never
before been allowed to listen in on people's homes, but Dorothy
Quisling pointed out that people might use this new invention of
covering their mouths with veils to discuss the kidnapping and
mutilation of children. No one in the legislature wanted to be accused
of being in favor of mutilating children, but then again, no one
wanted to interfere in people's rights to wear what they liked, so a
compromise was reached whereby all homes were installed with
microphones in each room to accompany the video cameras. The wise man
lamented few if any child mutilations had ever been solved by the old
lip reading technology, but it was too late -- the microphones were
installed everwhere.

However, it was discovered that this was insufficient to prevent
citizens from hiding information from the authorities, because some of
them would cleverly speak in languages that the police could not
understand. A new law was proposed to force all citizens to speak at
all times only in Ruritanian, and, for good measure, to require that
they speak clearly and distinctly near the microphones. ""After all"",
Dorothy Quisling pointed out, ""they might be using the opportunity to
speak in private to mask terrorist activities!""  Terrorism struck
terror into everyone's hearts, and they rejoiced at the brulliance of
this new law.

Meanwhile, the wise man talked one evening to his friends on how all
of this was making a sham of the constitution of Ruritania, of which
all Ruritanians were proud. ""Why"", he asked, ""are we obligated to
sacrifice all our freedom and privacy to make the lives of the police
easier? There isn't any real evidence that this makes any big dent in
crime anyway! All it does is make our privacy forfeit to the state!""

However, the wise man made the mistake of saying this, as the law
required, in Ruritanian, clearly and distinctly, and near a
microphone.  Soon, the newly formed Ruritanian Secret Police arrived
and took him off, and got him to confess by torturing him. Torture
was, after all, far more efficient than the old methods, and had been
recently instituted to stop the recent wave of people thinking obscene
thoughts about tomatoes, which Dorothy Quisling noted was one of the
major problems of the new age of plenty and joy.

--
Perry Metzger		pmetzger@shearson.com",politics,0.868,science,0.0030809279472943,0.8681342153580339,0.1287848566946715,"'people': 0.116, 'man': 0.099, 'law': 0.078, 'technology': -0.074, 'police': 0.061, 'country': 0.058","'people': -0.111, 'man': -0.103, 'law': -0.075, 'technology': 0.065, 'police': -0.060, 'use': 0.060","'people': -0.015, 'law': -0.013, 'police': -0.012, 'country': -0.008, 'would': -0.008, 'use': -0.008","Input: Well, they can't listen in on much of mine, since I already use
cryptography for much of my electronic mail, and will start using it
for my telephony as soon as practical.

However, allow me to tell a parable.

There was once a far away land called Ruritania, and in Ruritania
there was a strange phenonmenon -- all the trees that grew in
Ruritainia were transparent. Now, in the days when people had lived in
mud huts, this had not been a problem, but now high-tech wood
technology had been developed, and in the new age of wood, everyone in
Ruritania found that their homes were all 100% see through. Now, until
this point, no one ever thought of allowing the police to spy on
someone's home, but the new technology made this tempting. This being
a civilized country, however, warrants were required to use binoculars
and watch someone in their home. The police, taking advantage of this,
would get warrants to use binoculars and peer in to see what was going
on. Occassionally, they would use binoculars without a warrant, but
everyone pretended that this didn't happen.

One day, a smart man invented paint -- and if you painted your house,
suddenly the police couldn't watch all your actions at will. Things
would go back to the way they were in the old age -- completely
private.

Indignant, the state decided to try to require that all homes have
video cameras installed in every nook and cranny. ""After all"", they
said, ""with this new development crime could run rampant. Installing
video cameras doesn't mean that the police get any new capability --
they are just keeping the old one.""

A wise man pointed out that citizens were not obligated to make the
lives of the police easy, that the police had survived all through the
mud hut age without being able to watch the citizens at will, and that
Ruritania was a civilized country where not everything that was
expedient was permitted. For instance, in a neighboring country, it
had been discovered that torture was an extremely effective way to
solve crimes. Ruritania had banned this practice in spite of its
expedience. Indeed, ""why have warrants at all"", he asked, ""if we are
interested only in expedience?""

A famous paint technologist, Dorothy Quisling, intervened however. She
noted that people might take photographs of children masturbating
should the new paint technology be widely deployed without safeguards,
and the law was passed.

Soon it was discovered that some citizens would cover their mouths
while speaking to each other, thus preventing the police from reading
their lips through the video cameras. This had to be prevented, the
police said. After all, it was preventing them from conducting their
lawful surveilance. The wise man pointed out that the police had never
before been allowed to listen in on people's homes, but Dorothy
Quisling pointed out that people might use this new invention of
covering their mouths with veils to discuss the kidnapping and
mutilation of children. No one in the legislature wanted to be accused
of being in favor of mutilating children, but then again, no one
wanted to interfere in people's rights to wear what they liked, so a
compromise was reached whereby all homes were installed with
microphones in each room to accompany the video cameras. The wise man
lamented few if any child mutilations had ever been solved by the old
lip reading technology, but it was too late -- the microphones were
installed everwhere.

However, it was discovered that this was insufficient to prevent
citizens from hiding information from the authorities, because some of
them would cleverly speak in languages that the police could not
understand. A new law was proposed to force all citizens to speak at
all times only in Ruritanian, and, for good measure, to require that
they speak clearly and distinctly near the microphones. ""After all"",
Dorothy Quisling pointed out, ""they might be using the opportunity to
speak in private to mask terrorist activities!""  Terrorism struck
terror into everyone's hearts, and they rejoiced at the brulliance of
this new law.

Meanwhile, the wise man talked one evening to his friends on how all
of this was making a sham of the constitution of Ruritania, of which
all Ruritanians were proud. ""Why"", he asked, ""are we obligated to
sacrifice all our freedom and privacy to make the lives of the police
easier? There isn't any real evidence that this makes any big dent in
crime anyway! All it does is make our privacy forfeit to the state!""

However, the wise man made the mistake of saying this, as the law
required, in Ruritanian, clearly and distinctly, and near a
microphone.  Soon, the newly formed Ruritanian Secret Police arrived
and took him off, and got him to confess by torturing him. Torture
was, after all, far more efficient than the old methods, and had been
recently instituted to stop the recent wave of people thinking obscene
thoughts about tomatoes, which Dorothy Quisling noted was one of the
major problems of the new age of plenty and joy.

--
Perry Metzger		pmetzger@shearson.com

Output: politics
Confidence: 0.868
Output rationale: 'people': 0.116, 'man': 0.099, 'law': 0.078, 'technology': -0.074, 'police': 0.061, 'country': 0.058.","Input: Well, they can't listen in on much of mine, since I already use
cryptography for much of my electronic mail, and will start using it
for my telephony as soon as practical.

However, allow me to tell a parable.

There was once a far away land called Ruritania, and in Ruritania
there was a strange phenonmenon -- all the trees that grew in
Ruritainia were transparent. Now, in the days when people had lived in
mud huts, this had not been a problem, but now high-tech wood
technology had been developed, and in the new age of wood, everyone in
Ruritania found that their homes were all 100% see through. Now, until
this point, no one ever thought of allowing the police to spy on
someone's home, but the new technology made this tempting. This being
a civilized country, however, warrants were required to use binoculars
and watch someone in their home. The police, taking advantage of this,
would get warrants to use binoculars and peer in to see what was going
on. Occassionally, they would use binoculars without a warrant, but
everyone pretended that this didn't happen.

One day, a smart man invented paint -- and if you painted your house,
suddenly the police couldn't watch all your actions at will. Things
would go back to the way they were in the old age -- completely
private.

Indignant, the state decided to try to require that all homes have
video cameras installed in every nook and cranny. ""After all"", they
said, ""with this new development crime could run rampant. Installing
video cameras doesn't mean that the police get any new capability --
they are just keeping the old one.""

A wise man pointed out that citizens were not obligated to make the
lives of the police easy, that the police had survived all through the
mud hut age without being able to watch the citizens at will, and that
Ruritania was a civilized country where not everything that was
expedient was permitted. For instance, in a neighboring country, it
had been discovered that torture was an extremely effective way to
solve crimes. Ruritania had banned this practice in spite of its
expedience. Indeed, ""why have warrants at all"", he asked, ""if we are
interested only in expedience?""

A famous paint technologist, Dorothy Quisling, intervened however. She
noted that people might take photographs of children masturbating
should the new paint technology be widely deployed without safeguards,
and the law was passed.

Soon it was discovered that some citizens would cover their mouths
while speaking to each other, thus preventing the police from reading
their lips through the video cameras. This had to be prevented, the
police said. After all, it was preventing them from conducting their
lawful surveilance. The wise man pointed out that the police had never
before been allowed to listen in on people's homes, but Dorothy
Quisling pointed out that people might use this new invention of
covering their mouths with veils to discuss the kidnapping and
mutilation of children. No one in the legislature wanted to be accused
of being in favor of mutilating children, but then again, no one
wanted to interfere in people's rights to wear what they liked, so a
compromise was reached whereby all homes were installed with
microphones in each room to accompany the video cameras. The wise man
lamented few if any child mutilations had ever been solved by the old
lip reading technology, but it was too late -- the microphones were
installed everwhere.

However, it was discovered that this was insufficient to prevent
citizens from hiding information from the authorities, because some of
them would cleverly speak in languages that the police could not
understand. A new law was proposed to force all citizens to speak at
all times only in Ruritanian, and, for good measure, to require that
they speak clearly and distinctly near the microphones. ""After all"",
Dorothy Quisling pointed out, ""they might be using the opportunity to
speak in private to mask terrorist activities!""  Terrorism struck
terror into everyone's hearts, and they rejoiced at the brulliance of
this new law.

Meanwhile, the wise man talked one evening to his friends on how all
of this was making a sham of the constitution of Ruritania, of which
all Ruritanians were proud. ""Why"", he asked, ""are we obligated to
sacrifice all our freedom and privacy to make the lives of the police
easier? There isn't any real evidence that this makes any big dent in
crime anyway! All it does is make our privacy forfeit to the state!""

However, the wise man made the mistake of saying this, as the law
required, in Ruritanian, clearly and distinctly, and near a
microphone.  Soon, the newly formed Ruritanian Secret Police arrived
and took him off, and got him to confess by torturing him. Torture
was, after all, far more efficient than the old methods, and had been
recently instituted to stop the recent wave of people thinking obscene
thoughts about tomatoes, which Dorothy Quisling noted was one of the
major problems of the new age of plenty and joy.

--
Perry Metzger		pmetzger@shearson.com

Output: politics
Confidence: 0.868","['people', 'man', 'law', 'technology', 'police', 'country']"
9,"The FBI says that some of the survivors claim to have seen the leaders
of the cult talking about setting a fire, and to have smelt kerosene.
I assume this will come out at any trial that occurs as a result
of these events.",politics,0.998,politics,6.910587736441339e-06,0.9979648519013792,0.0020282375108846,"'FBI': 0.061, 'fire': 0.061, 'trial': 0.058, 'claim': 0.031, 'survivors': 0.023, 'says': 0.019","'fire': -0.037, 'trial': -0.035, 'FBI': -0.035, 'says': -0.022, 'survivors': -0.015, 'result': 0.014","'FBI': -0.027, 'fire': -0.025, 'trial': -0.024, 'claim': -0.018, 'survivors': -0.010, 'talking': -0.009","Input: The FBI says that some of the survivors claim to have seen the leaders
of the cult talking about setting a fire, and to have smelt kerosene.
I assume this will come out at any trial that occurs as a result
of these events.

Output: politics
Confidence: 0.998
Output rationale: 'FBI': 0.061, 'fire': 0.061, 'trial': 0.058, 'claim': 0.031, 'survivors': 0.023, 'says': 0.019.","Input: The FBI says that some of the survivors claim to have seen the leaders
of the cult talking about setting a fire, and to have smelt kerosene.
I assume this will come out at any trial that occurs as a result
of these events.

Output: politics
Confidence: 0.998","['FBI', 'fire', 'trial', 'claim', 'survivors', 'says']"
