id,text,pred,pred_prob,true_label,leisure_prob,leisure_rationales,politics_prob,politics_rationales,science_prob,science_rationales
0,"This is the price hockey fans have to pay for the mistake of leaving
ESPN 5 or 6 years ago...it will take time to correct for that mistake.

But returning to ESPN was the correct decision last year...by next
time, we may have the potential for Sportschannel and ESPN to really
compete to offer better coverage and be forced to deliver on it.",leisure,0.985,leisure,0.984913076499128,"[('ESPN', 0.08937133822056789), ('hockey', 0.07631350466113361), ('fans', 0.05220247752237997), ('last', 0.03308089866436786), ('correct', -0.029065750110301897), ('years', 0.028943372063335526)]",0.006956319877186205,"[('ESPN', -0.029296869217109854), ('hockey', -0.025354890186712983), ('correct', 0.017320730992209068), ('fans', -0.01656720868299537), ('years', -0.011394393143730124), ('next', -0.010365819222219118)]",0.008130603623685687,"[('ESPN', -0.06069069775630005), ('hockey', -0.05091426428570185), ('fans', -0.03624619389078454), ('last', -0.027280364691534182), ('mistake', 0.020714249156306527), ('coverage', -0.01945056936522006)]"
1,"It isn't that bad.  At least the Bugatti EB110 has compound curves compared
to the slab sides on the Consulier.  And the Bugatti has a quad turbo V-12
(thing of it as 4 three cylinder turbo engines tied together).  Also Ettore
Bugatti's nephew is on the board of directors and had a hand in the
development.  So that's about as much Bugatti as you are likely to get in
today's world.  Much like Enzo Ferrari's illegitamate son being allowed to
take over part of Ferrari as well... 


That's funny.  I have motorcylclist friends who say the same about `cages'. 
:-)

Most GP 500cc motorcycles are V-4s, and the VF line of Hondas were all V-4s
(from the VF-400F through the VF-1000F, including the RC30 race bike and
the present VFR-750F).  It should be noted that Lancia built a V-4 in
recent history in the Fulvia HF, a very pretty Italian coupe.",leisure,0.909,leisure,0.9093698762847139,"[('bike', 0.15000651479892266), ('motorcycles', 0.09801737636048369), ('turbo', 0.08619047660691888), ('engines', 0.07193016136763526), ('likely', -0.04578221308784567), ('son', -0.034024506213466615)]",0.04813317935355254,"[('bike', -0.05585249040456354), ('motorcycles', -0.03755025568200989), ('turbo', -0.033058693716520246), ('engines', -0.031657499739074675), ('likely', 0.028532445486341474), ('compound', 0.025706161525209093)]",0.0424969443617335,"[('bike', -0.09669986694172193), ('motorcycles', -0.06305214408212101), ('turbo', -0.05670375525967742), ('engines', -0.04368091496761068), ('board', 0.026761593952542018), ('development', 0.026243448925221416)]"
2,": That more or less says it.  I flicked the Penguins game on briefly and saw
: Ulf cross-check Valeri in the face.  I am wondering if Don Cherry is going to
: go off on this at all in coach's corner.

And that was the ONLY infraction of this type in the game. 
Come on! Wake up! Geez He's not the only player who does this
sort of thing. I think we were kind of lucky. The game was not
really all that ""chippy"" considering the state NJ is in about
now.",leisure,0.997,leisure,0.9966983062398767,"[('game', 0.09684694475709942), ('player', 0.041674751498829536), ('state', -0.024528337884933013), ('Cherry', 0.020039012424141786), ('go', 0.01847977368551553), ('wondering', 0.018407690558433658)]",0.002425670425674092,"[('game', -0.057640944326886115), ('player', -0.025254413957727255), ('state', 0.024540241501436112), ('Cherry', -0.011107566276079502), ('go', -0.010548459237104246), ('wondering', -0.008256323259527633)]",0.0008760233344493147,"[('game', -0.0386184239734998), ('player', -0.015960255308803874), ('wondering', -0.00942946256009716), ('Cherry', -0.008379035969312231), ('go', -0.007374578598784565), ('saw', -0.005646389254098773)]"
3,"First off, use some decent terms if ya don't mind.  This is sci.med, not
alt.sex.

Secondly, how absolutely bogus to assume that ""American's are just too hung
up on the penis....blah,blah"".  I think most American's don't care about
anything so comlicated as that.  They just think it ""looks nicer"".  Ask 
a few of them and see what response you get.  Others still opt for
circumcision due to religious traditions and beliefs.  Some think it is
easier to clean.  Still others do it because ""Daddy was"".

Dont' be so naive as to think American's are afraid of sexuality.",science,0.419,science,0.2582271249371667,"[('s', 0.08975373741188301), ('American', -0.07326913971987598), ('think', 0.07124336852534584), ('use', -0.068909938005879), ('care', -0.06733619665055282), ('decent', 0.04402828379275939)]",0.4187526340725554,"[('s', -0.22829825637181547), ('American', 0.1610769170178568), ('sexuality', 0.052587807872416216), ('care', 0.05111051058981298), ('circumcision', -0.04896143812459947), ('religious', 0.046848099140981016)]",0.3230202409902777,"[('s', 0.1219116246401648), ('American', -0.1051283445196985), ('use', 0.06821025596769197), ('circumcision', 0.06726562565250112), ('think', -0.05315618431718069), ('absolutely', -0.04751491065745711)]"
4,"BMWs boxer twin! (no two wheelers here?) Been around since 1923. I think the
other examples are Johnny come latelies... I may be wrong so no flames please..",leisure,0.768,leisure,0.7683676450506186,"[('twin', 0.19777646461089873), ('boxer', -0.10788098719724398), ('please', 0.09100457082424955), ('Johnny', 0.069347852781379), ('examples', -0.06227140598240737), ('think', 0.03891677439553931)]",0.04040692872321992,"[('please', -0.03168847484047956), ('may', -0.025998769688627972), ('twin', -0.020604292399478617), ('come', 0.01798021780078079), ('wrong', 0.014502619419631432), ('Johnny', -0.011931893971835352)]",0.19122542622616162,"[('twin', -0.18466041290011748), ('boxer', 0.09560395138229626), ('please', -0.06734175822783568), ('Johnny', -0.06421194092837107), ('may', 0.05816288048319966), ('examples', 0.04075970847310739)]"
5,"The new Cruisers DO NOT have independent suspension in the front.  They
still
run a straight axle, but with coils.  The 4Runner is the one with
independent
front.  The Cruisers have incredible wheel travel with this system. 

The 91-up Cruiser does have full time 4WD, but the center diff locks in
low range.  My brother has a 91 and is an incredibly sturdy vehicle which
has done all the 4+ trails in Moab without a tow.  The 93 and later is even
better with the bigger engine and locking diffs.",leisure,0.979,leisure,0.9789886670786788,"[('front', 0.06646821680816474), ('wheel', 0.0489981524448085), ('engine', 0.04646791856174367), ('Cruisers', 0.032696053192823094), ('suspension', 0.029434206359609364), ('system', -0.019769979592055082)]",0.010165560386370353,"[('front', -0.020085473075674144), ('engine', -0.017481806206104508), ('wheel', -0.016937727238163256), ('Cruisers', -0.013738316697842035), ('vehicle', -0.013061149745678766), ('incredible', 0.012804185436744315)]",0.010845772534950891,"[('front', -0.04731183148616621), ('wheel', -0.03235493261637446), ('engine', -0.02988484508698329), ('suspension', -0.021301083904305268), ('Cruisers', -0.020363963996294136), ('system', 0.01809906544308498)]"
6,"I would appreciate any thoughts on what makes a planet habitable for Humans.
I am making asumptions that life and a similar atmosphere evolve given a range
of physical aspects of the planet.  The question is what physical aspects
simply disallow earth like conditions.

eg Temperature range of 280K to 315K (where temp is purely dependant on dist
     from the sun and the suns temperature..)
   Atmospheric presure ? - I know nothing of human tolerance
   Planetary Mass ? - again gravity at surface is important, how much
     can human bodies take day after day.  Also how does the mass effect
     atmosphere.  I thinking of planets between .3 and 3 times mass of the
     earth.  I suppose density should be important as well.

Climate etc does not concern me, nor does axial tilt etc etc.  Just the above
three factors and how they relate to one another.

Jonathan
--",science,0.942,science,0.014968641773956072,"[('earth', -0.0298587524962172), ('planet', -0.01710618577377855), ('eg', -0.01574807597277408), ('etc', -0.014104233697643572), ('nothing', -0.012336931402730466), ('mass', -0.011890749787608082)]",0.042849345008068265,"[('etc', -0.061424360000928345), ('earth', -0.04062631685228357), ('mass', 0.02599419807064497), ('sun', -0.024182896934304712), ('important', 0.023648967471639387), ('appreciate', -0.021874709050256198)]",0.9421820132179758,"[('etc', 0.07291484379684142), ('earth', 0.06912205486749759), ('eg', 0.031558357586263464), ('sun', 0.03125461279903027), ('effect', 0.028736878005316307), ('important', -0.024288520406767777)]"
7,"I think one only needs to scan Mr. Davidsson's bibliography to see what kind
of objective sources he uses.",politics,0.641,politics,0.1852090305150541,"[('Mr', -0.2112977678176413), ('sources', -0.12421867636585272), ('objective', 0.05960356413021854), ('s', 0.04624280764656477), ('bibliography', 0.043737455745855525), ('think', 0.03535677204464559)]",0.6411494046196765,"[('Mr', 0.4227648139301954), ('sources', 0.09256250724513952), ('bibliography', -0.0822895557711877), ('s', -0.08150815062075475), ('needs', -0.05723273000282939), ('scan', -0.05163784096853674)]",0.17364156486526958,"[('Mr', -0.2125266795369407), ('uses', 0.04143220400127187), ('bibliography', 0.03859078578493546), ('s', 0.0375908602911696), ('see', -0.03630848931304497), ('sources', 0.03232872792268011)]"
8,"Well, they can't listen in on much of mine, since I already use
cryptography for much of my electronic mail, and will start using it
for my telephony as soon as practical.

However, allow me to tell a parable.

There was once a far away land called Ruritania, and in Ruritania
there was a strange phenonmenon -- all the trees that grew in
Ruritainia were transparent. Now, in the days when people had lived in
mud huts, this had not been a problem, but now high-tech wood
technology had been developed, and in the new age of wood, everyone in
Ruritania found that their homes were all 100% see through. Now, until
this point, no one ever thought of allowing the police to spy on
someone's home, but the new technology made this tempting. This being
a civilized country, however, warrants were required to use binoculars
and watch someone in their home. The police, taking advantage of this,
would get warrants to use binoculars and peer in to see what was going
on. Occassionally, they would use binoculars without a warrant, but
everyone pretended that this didn't happen.

One day, a smart man invented paint -- and if you painted your house,
suddenly the police couldn't watch all your actions at will. Things
would go back to the way they were in the old age -- completely
private.

Indignant, the state decided to try to require that all homes have
video cameras installed in every nook and cranny. ""After all"", they
said, ""with this new development crime could run rampant. Installing
video cameras doesn't mean that the police get any new capability --
they are just keeping the old one.""

A wise man pointed out that citizens were not obligated to make the
lives of the police easy, that the police had survived all through the
mud hut age without being able to watch the citizens at will, and that
Ruritania was a civilized country where not everything that was
expedient was permitted. For instance, in a neighboring country, it
had been discovered that torture was an extremely effective way to
solve crimes. Ruritania had banned this practice in spite of its
expedience. Indeed, ""why have warrants at all"", he asked, ""if we are
interested only in expedience?""

A famous paint technologist, Dorothy Quisling, intervened however. She
noted that people might take photographs of children masturbating
should the new paint technology be widely deployed without safeguards,
and the law was passed.

Soon it was discovered that some citizens would cover their mouths
while speaking to each other, thus preventing the police from reading
their lips through the video cameras. This had to be prevented, the
police said. After all, it was preventing them from conducting their
lawful surveilance. The wise man pointed out that the police had never
before been allowed to listen in on people's homes, but Dorothy
Quisling pointed out that people might use this new invention of
covering their mouths with veils to discuss the kidnapping and
mutilation of children. No one in the legislature wanted to be accused
of being in favor of mutilating children, but then again, no one
wanted to interfere in people's rights to wear what they liked, so a
compromise was reached whereby all homes were installed with
microphones in each room to accompany the video cameras. The wise man
lamented few if any child mutilations had ever been solved by the old
lip reading technology, but it was too late -- the microphones were
installed everwhere.

However, it was discovered that this was insufficient to prevent
citizens from hiding information from the authorities, because some of
them would cleverly speak in languages that the police could not
understand. A new law was proposed to force all citizens to speak at
all times only in Ruritanian, and, for good measure, to require that
they speak clearly and distinctly near the microphones. ""After all"",
Dorothy Quisling pointed out, ""they might be using the opportunity to
speak in private to mask terrorist activities!""  Terrorism struck
terror into everyone's hearts, and they rejoiced at the brulliance of
this new law.

Meanwhile, the wise man talked one evening to his friends on how all
of this was making a sham of the constitution of Ruritania, of which
all Ruritanians were proud. ""Why"", he asked, ""are we obligated to
sacrifice all our freedom and privacy to make the lives of the police
easier? There isn't any real evidence that this makes any big dent in
crime anyway! All it does is make our privacy forfeit to the state!""

However, the wise man made the mistake of saying this, as the law
required, in Ruritanian, clearly and distinctly, and near a
microphone.  Soon, the newly formed Ruritanian Secret Police arrived
and took him off, and got him to confess by torturing him. Torture
was, after all, far more efficient than the old methods, and had been
recently instituted to stop the recent wave of people thinking obscene
thoughts about tomatoes, which Dorothy Quisling noted was one of the
major problems of the new age of plenty and joy.

--
Perry Metzger		pmetzger@shearson.com",politics,0.868,science,0.0030809279472943964,"[('people', -0.014692416175166173), ('law', -0.012835199134060834), ('police', -0.01217845776745836), ('country', -0.008429147827149019), ('would', -0.007753610043138936), ('use', -0.007677494049790927)]",0.8681342153580339,"[('people', 0.11592419764243342), ('man', 0.0988960138737501), ('law', 0.07777070757867746), ('technology', -0.07408338626633515), ('police', 0.061209824837546216), ('country', 0.057524814096456926)]",0.12878485669467152,"[('people', -0.11149440770002064), ('man', -0.10347228268776726), ('law', -0.0749704719296559), ('technology', 0.06480284310659745), ('police', -0.05993639769935284), ('use', 0.059517672923453994)]"
9,"The FBI says that some of the survivors claim to have seen the leaders
of the cult talking about setting a fire, and to have smelt kerosene.
I assume this will come out at any trial that occurs as a result
of these events.",politics,0.998,politics,6.910587736441339e-06,"[('FBI', -0.026957114876246212), ('fire', -0.02531765991501558), ('trial', -0.02404240237294689), ('claim', -0.01804005418430064), ('survivors', -0.009634940276224063), ('talking', -0.009204355111177134)]",0.9979648519013791,"[('FBI', 0.06094693907657823), ('fire', 0.06052249248810781), ('trial', 0.05811096390673806), ('claim', 0.031167946285922763), ('survivors', 0.022814091362602144), ('says', 0.019125796307779688)]",0.0020282375108846033,"[('fire', -0.03718057464531055), ('trial', -0.03524682364417738), ('FBI', -0.03519188158822602), ('says', -0.021773727075678064), ('survivors', -0.014667867128782583), ('result', 0.014282509008981769)]"
