StartDate;EndDate;Status;IPAddress;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;QGender;QAge;QEducation;Condition;_Practice_UndElm;_Unclear;_Practice_Sat;_Practice_Agree;_practice_SelfExp;_Practice_UndTas;_Practice_WantExp;_Practice_SelfExp;SatCarTax_I;AgreeCarTax_I;SelfExpCarTax_I;WantCarTax_I;SatAEC_I;AgreeAEC_I;SelfExpAEC_I;WantAEC_I;SatAssoPpl_I;AgreeAssoPpl_I;SelfExpAssoPpl_I;WantAssoPpl_I;SatBattery_I;AgreeBattery_I;SelfExpBattery_I;WantBattery_I;SatAmCult_I;AgreeAmCult_I;SelfExpAmCult_I;WantAmCult_I;SatCool_I;AgreeCool_I;SelfExpCool_I;WantCool_I;SatChip_C;AgreeChip_C;SelfExpChip_C;WantChip_C;SatConsp_C;AgreeConsp_C;SelfExpConsp_C;WantConsp_C;SatBike_C;AgreeBike_C;SelfExpBike_C;WantBike_C;SatITAR_C;AgreeITAR_C;SelfExpITAR_C;WantITAR_C;SatAmJap_C;AgreeAmJap_C;SelfExpAmJap_C;WantAmJap_C;SatUmpire_C;AgreeUmpire_C;SelfExpUmpire_C;WantUmpire_C
2024-04-03 10:02;2024-04-03 10:19;IP Address;82.69.35.63;100;1035;True;2024-04-03 10:19;R_63Q6UMlzFuUuIKt;Female;33;Some college but no degree;2;Yes;;5.0;Yes, I agree it is leisure;;Yes;;"The text mentions ""game"" and other words relating to sports, which is leisure";4.0;Yes, I agree it is politics;I agree it's politics as the text talks about the different tax costs, but because it is also about cars, it could also fall under the leisure catagory;;5.0;Yes, I agree it is science;The text mentions space and the planets;;5.0;Yes, I agree it is leisure;The texts mentions many leisure activities such as shopping and sports;;2.0;No, it is science;i would say it's science as it talks about batteries and how they work;;5.0;Yes, I agree it is politics;The text talks about different cultures and it mentions the government;;3.0;No, it is leisure;I think the text is referring to a car, so it would fall under the leisure catagory;;5.0;Yes, I agree it is science;The text contains information about sound frequencies, voltage levels and chips, which are all connected to science;;5.0;Yes, I agree it is politics;"The text mentions ""weapons""";;5.0;Yes, I agree it is leisure;"The text mentions ""drive"" and ""bike"" which would fall under the motor catagory of leisure";;4.0;Yes, I agree it is science;It does mention computer science but it could also be political ;;5.0;Yes, I agree it is politics;The texts mentions economics many times, as well as different countries;;5.0;Yes, I agree it is leisure;The text talks about the rules of a sports game;
2024-04-03 10:10;2024-04-03 10:22;IP Address;86.152.242.253;100;715;True;2024-04-03 10:22;R_8pmnG458WBxHVoR;Female;28;Bachelor's degree in college (4-year);2;Yes;;4.0;Yes, I agree it is leisure;;Yes;;I would classify sports as a leisure activity so I agree with the AI classification;4.0;Yes, I agree it is politics;The text focuses only on taxes which are inherently political. As there is no extraneous information this makes it definitely political;;4.0;No, it is politics;While it uses scientific info, the purpose of the text is to focus on political decision making;;4.0;No, it is science;While leisure activities were mentioned, the main point of the persons text was the first sentence about how you are forced to engage with people in these leisure activities. It is more close to politics or science;;3.0;No, it is science;This text is describing a scientific explanation;;4.0;Yes, I agree it is politics;Cultural differences are definitely inherently political so I agree with the AI assessment;;4.0;Yes, I agree it is science;I would also lean towards science as aerials and antenna lend to this being closer related to science;;4.0;Yes, I agree it is science;This is only focused on scientific information;;4.0;Yes, I agree it is politics;Conspiracy and cultlike behaviour is most closely aligned with politics than anything else;;3.0;No, it is science;The text focuses more on safety than it does on riding a bike;;4.0;No, it is politics;It is discussing legal classifications so it leans more political than science;;4.0;Yes, I agree it is politics;The text focuses soleley on economics which are political by nature;;4.0;Yes, I agree it is leisure;While this could be science as it discusses the finer points of the sport, it is still inherently discussing the sport as a main focus;
2024-04-03 10:10;2024-04-03 10:22;IP Address;51.191.198.225;100;744;True;2024-04-03 10:22;R_50G9yZe189JktWH;Female;34;Bachelor's degree in college (4-year);1;Yes;;5.0;Yes, I agree it is leisure;Because the text is about sport which is leisure;Yes;;;5.0;Yes, I agree it is politics;As the text is about taxes - I agree this is politics;;5.0;Yes, I agree it is science;I think it is science as it is talking about our atmosphere and substances produced;;4.0;Yes, I agree it is leisure;Because the text talks about multiple hobbies/leisure activities;;3.0;No, it is science;The text is talking about the science behind battery lifespan - science;;5.0;Yes, I agree it is politics;Because the text is regarding Native Americans and the culture - which I believe falls under politics;;3.0;Yes, I agree it is science;I think the text could of been leisure, but I chose science as the discussion was about antenna;;4.0;Yes, I agree it is science;As the text is about a chip and its reference guide ;;5.0;Yes, I agree it is politics;Due to the decision making involved in the text;;4.0;Yes, I agree it is leisure;As the text is talking about the hobby of biking;;3.0;No, it is politics;I feel this is politics as it is talking about court and laws;;4.0;Yes, I agree it is politics;I agree this is a survey regarding political views from a set group of people;;5.0;Yes, I agree it is leisure;Yes - the text is talking about sporting rules and umpires;
2024-04-03 10:01;2024-04-03 10:26;IP Address;149.34.176.78;100;1498;True;2024-04-03 10:26;R_1rrvIuzCL4rBt0g;Female;27;Master's degree;3;Yes;;5.0;Yes, I agree it is leisure;;Yes;;The text is clearly about sport. And sport clearly falls under the hobby class. Words like 'game' make this very clear.;5.0;Yes, I agree it is politics;Words such as 'resident' and 'tax' - assume that it some kind of social conversation that is related to politics;;5.0;Yes, I agree it is science;Words such as 'earth' and 'atmosphere' clearly point to science -w hat's more sciencey than talking about the planet??;;4.0;Yes, I agree it is leisure;The key words 'public park' and 'baseball game' ring true to this depiction;;2.0;No, it is science;"I think this is science as it is talking about the function of a battery - i can;t quite see how the AI came to the decision of this being Leisure.";;4.0;Yes, I agree it is politics;The text is discussing native american culture and the differing perspectives of it. For this reason, it is clearly political - this could in no way fit into the other two classes.;;3.0;No, it is politics;I think it is politics as someone is writing a letter about something that will be present in society, the installement of a new antenna ;;4.0;Yes, I agree it is science;The terms used in the text are highly scientific - so much so that  as a non scientist, I struggle to understand what it is talking about. They are talking about a decoder chip which is obviously something technological - therefore something scientific. ;;4.0;Yes, I agree it is politics;I think it is politics due to the use of words like 'conspiracy' as well as 'weapons' as well as 'cultists'. I can't see how these words apply to science or leisure.;;3.0;Yes, I agree it is leisure;"I think this is probably leisure as it is someone talking about riding a bike, however I don;t have great confidence on this as they are usign the word pillioting to descibe an action (ive not heard of this word before) and was wondering if they were talking about some actions in warfare, which could then fall into the politics class.";;3.0;No, it is politics;Again, this text is very dense and hard to decipher but I believe it tips more towards politics as it seems to be talking about a high profile arrest of some kind - lawyers are being drawn into it which could also apply to science but i feel this is definitley more politics related.;;5.0;Yes, I agree it is politics;Yes this is definitely politics. It is talking about public opinion and asking the reader their opinions about the economy. Usually surveys are used in a political context . ;;4.0;Yes, I agree it is leisure;The word umpire says it all - definitleu leisure, at first i thought it could be science due to the maths but it makes sense that it is leisure - i think they are discussing the results of a game.;
2024-04-03 10:10;2024-04-03 10:26;IP Address;5.66.2.157;100;933;True;2024-04-03 10:26;R_2wWiXcTkAoLBZIt;Male;32;Bachelor's degree in college (4-year);3;Yes;;4.0;Yes, I agree it is leisure;;Yes;;The text is discussing baseball;4.0;Yes, I agree it is politics;I think the AI is a little too confident, this could be a scientific study but is probably politics.;;5.0;Yes, I agree it is science;The text is discussing geography.;;2.0;No, it is politics;The text is making an arguement statement and sounds like someone trying to change your opinion.;;2.0;No, it is science;Lots of the words are scientific.;;2.0;No, it is science;This is more history than science;;4.0;Yes, I agree it is science;I'm not very certain but this is my best guess. The text is discussing antennas.;;5.0;Yes, I agree it is science;The text is from an amateur radio operator.;;4.0;Yes, I agree it is politics;The text is vague, I don't think it falls under any of the categories.;;4.0;Yes, I agree it is leisure;The text is discussing bikes.;;3.0;No, it is politics;I understand why the AI has made its decision, but this is discussing a US law and its application.;;3.0;Yes, I agree it is politics;I am uncertain as is the AI Bot, this could be politics or science but there isn't much context.;;4.0;Yes, I agree it is leisure;The text is discussing baseball;
2024-04-03 10:12;2024-04-03 10:28;IP Address;90.214.136.178;100;947;True;2024-04-03 10:28;R_2mWQ0IcWM98O2lZ;Male;29;Master's degree;3;Yes;;5.0;Yes, I agree it is leisure;;Yes;;Use of words like 'game' 'catcher' and 'baserunning';5.0;Yes, I agree it is politics;It's politics as it talks about state specific tax laws. ;;5.0;Yes, I agree it is science;Definitely science as it talks of data, Earth and quantities. ;;5.0;Yes, I agree it is leisure;talking about social interactions;;1.0;No, it is science;Explains the scientific reasoning as to why the battery is dead so I think it should be science. ;;5.0;Yes, I agree it is politics;Talk of native americans;;5.0;No, it is leisure;Quite difficult as it could be science or leisure as it's a personal interaction which is thrown off by the word antenna. ;;5.0;Yes, I agree it is science;Definitely science as it talks about the scientific elements of the decoder chip.;;5.0;Yes, I agree it is politics;use of 'conspiracy', 'weapons' and 'cultists';;5.0;Yes, I agree it is leisure;talking about bikes so it is leisure;;1.0;No, it is politics;it seems to be politics as it relates to criminal activity;;5.0;Yes, I agree it is politics;it's a blend of politics and leisure, however i would say politics based on the questions asked. ;;3.0;Yes, I agree it is leisure;'ball'  'strike' 'plate' are used;
2024-04-03 10:11;2024-04-03 10:28;IP Address;90.217.218.174;100;988;True;2024-04-03 10:28;R_6dZ0d5S4kktsOiI;Male;65;High school graduate (high school diploma or equivalent including GED);2;Yes;;5.0;Yes, I agree it is leisure;;Yes;;clearly the explanation did not belong to either to the other 2 classes;5.0;Yes, I agree it is politics;politics fits nicely for this one.;;5.0;Yes, I agree it is science;clearly, science is the only class this fits.;;4.0;Yes, I agree it is leisure;It may be something to do with travel - this makes it more likely to be leisure than the other 2 classes.;;1.0;No, it is science;Clearly, science - I cannot see anything in the text that suggests otherwise.;;3.0;Yes, I agree it is politics;This is difficult as I feel it doesn't fit ANY of the classes. Given that, the assumption of politics is the better class of the three.;;5.0;Yes, I agree it is science;"its unclear what they are discussing, however, with the limited information available, ""science"" seems a safe bet.";;5.0;Yes, I agree it is science;No debate really - it is clearly science, given the technical information that it discusses.;;4.0;Yes, I agree it is politics;"It might be science, but talk of conspiracies seems to indicate—as it is being ""watched""—that it is more likely to be politics.";;3.0;Yes, I agree it is leisure;An expansion of the text may reveal that science is a better classification, but given what there is there, the assumption of leisure seems sound.;;2.0;No, it is politics;Clearly politics - perhaps the mention of ITAR (I don't know what it means, either), threw the AI.;;5.0;Yes, I agree it is politics;Economics and therefore politics is the likeliest class;;5.0;Yes, I agree it is leisure;Baseball - though it veers towards science, leisure is much more likely given the jovial tone of the extract.;
2024-04-03 10:14;2024-04-03 10:28;IP Address;86.169.39.38;100;832;True;2024-04-03 10:28;R_4vumZRxJY4mptPr;Male;56;High school graduate (high school diploma or equivalent including GED);3;Yes;;5.0;Yes, I agree it is leisure;;Yes;;Plate, game, yes its all in the genre of a sports game, hence leisure;4.0;Yes, I agree it is politics;making a political point;;3.0;Yes, I agree it is science;so many obvious science terms, ;;2.0;No, it is politics;could be either.;;2.0;No, it is science;its a scientific theory relating to a leisure based activity - dealer choice;;3.0;Yes, I agree it is politics;its political history;;3.0;No, it is leisure;it could be leisure, there is not enough context... it seems to be offering a scientific solution to something, whilst indicating it is a way to fight back, which could make it Political.;;4.0;Yes, I agree it is science;way over my head so scientific;;4.0;Yes, I agree it is politics;conspiracy theories - political;;4.0;Yes, I agree it is leisure;its about riding a bike;;2.0;No, it is politics;difficult - scientific terms but relating to a criminal matter.;;3.0;Yes, I agree it is politics;grow and economy were the clues;;4.0;Yes, I agree it is leisure;its about ball play;
2024-04-03 10:12;2024-04-03 10:30;IP Address;86.152.18.251;100;1039;True;2024-04-03 10:30;R_2qaoUr1nbweXoqL;Female;35;Some college but no degree;2;No;dont understand;3.0;Yes, I agree it is leisure;;No;;talks about sport and injury;3.0;No, it is science;talks about car taxes;;2.0;Yes, I agree it is science;talks about the earth;;2.0;Yes, I agree it is leisure;talks about activities;;2.0;No, it is science;talks about the temperature;;2.0;Yes, I agree it is politics;Talks about the US;;2.0;Yes, I agree it is science;talks about antenna;;2.0;Yes, I agree it is science;talks about voltage;;2.0;Yes, I agree it is politics;talks about consipiracy ;;2.0;Yes, I agree it is leisure;talks about driving;;2.0;Yes, I agree it is science;software and trechnical data;;3.0;Yes, I agree it is politics;talks about the economy;;1.0;No, it is science;talks about the sie of the ball and speed;
2024-04-03 10:10;2024-04-03 10:32;IP Address;92.11.34.158;100;1349;True;2024-04-03 10:32;R_4UlXKoPQEAWdCKd;Male;25;Master's degree;2;Yes;;5.0;Yes, I agree it is leisure;;Yes;;It seems to be talking about baseball or a similar sport with words like catch and series. This would fall under leisure.;5.0;Yes, I agree it is politics;Yes this is politics. It discusses taxation and state policy which fall under politics.;;4.0;Yes, I agree it is science;Would call it political science but at its core it's definitely science. Just probably being used in a political manner.;;2.0;No, it is politics;While it mentions leisurely activities like going shopping and playing games, I think its talking more about the law (politics) behind these activities and the fact the government does not force you. Tricky one and I am probably overthinking it but I don't really think the leisure activities are the point of the text.;;1.0;No, it is science;The text is talking about the science of batteries lasting longer in a cooler enironment hence science. Nothing leissurely or political about this text.;;5.0;Yes, I agree it is politics;Definitely politics, since this discusses Americans and Native Americans history and culture.;;3.0;Yes, I agree it is science;Yes I think its the science of something involving aerials and antennas, so yeah science.;;5.0;Yes, I agree it is science;Most definitely science, the long winded names, the specific componenets. Not more scientific than that.;;5.0;Yes, I agree it is politics;Yes the text talks about conspiracies and the resulting consequences which would fall under politics given its like an internal war within a nation, sadly.;;5.0;Yes, I agree it is leisure;Talking about killing people while bike riding and it doesn't get more leisurely to me than that.;;1.0;No, it is politics;More talking about law and international law so I have to say politics. No idea what ITAR means but regardless its talking about its effect on law.;;3.0;Yes, I agree it is politics;It discusses economics which falls under the politics of nations so yes I agree its politics. ;;2.0;Yes, I agree it is leisure;Yes, strike, umpires, ball. This all pertains towards a sport, probably baseball again. So yes I agree it falls under leisure.;
